iter	Passed	Remaining
0	1	1239
1	1	867
2	2	782
3	3	842
4	4	846
5	4	817
6	5	750
7	6	771
8	7	827
9	8	814
10	8	792
11	9	805
12	10	791
13	10	774
14	12	789
15	12	789
16	13	801
17	14	813
18	15	810
19	16	802
20	17	797
21	17	787
22	18	771
23	19	775
24	20	793
25	21	797
26	22	797
27	22	792
28	23	798
29	24	797
30	25	790
31	26	796
32	27	795
33	28	802
34	29	808
35	30	808
36	30	803
37	31	802
38	32	796
39	32	791
40	33	784
41	34	782
42	34	775
43	35	777
44	36	774
45	37	776
46	38	771
47	38	770
48	39	768
49	40	770
50	41	771
51	42	767
52	42	767
53	43	765
54	44	759
55	44	754
56	45	750
57	47	778
58	48	779
59	49	779
60	50	779
61	51	779
62	52	779
63	53	780
64	54	777
65	54	775
66	55	772
67	56	770
68	56	768
69	57	767
70	58	765
71	58	757
72	59	756
73	60	752
74	60	748
75	61	749
76	61	742
77	62	737
78	63	736
79	63	733
80	64	733
81	66	743
82	67	746
83	68	746
84	69	743
85	69	740
86	70	738
87	71	737
88	71	736
89	72	735
90	73	734
91	74	732
92	74	729
93	75	732
94	77	734
95	77	731
96	78	730
97	79	732
98	80	731
99	81	729
100	81	725
101	82	724
102	83	723
103	84	723
104	84	723
105	85	722
106	86	723
107	87	722
108	88	720
109	88	719
110	89	718
111	90	718
112	90	714
113	91	711
114	92	709
115	92	707
116	93	705
117	94	704
118	94	702
119	96	706
120	97	706
121	97	705
122	98	701
123	99	700
124	99	698
125	100	697
126	101	698
127	102	696
128	102	694
129	103	694
130	104	693
131	105	695
132	106	695
133	107	694
134	108	694
135	109	692
136	109	692
137	110	691
138	111	688
139	111	687
140	112	685
141	113	683
142	113	681
143	114	681
144	115	678
145	115	675
146	116	675
147	117	676
148	117	673
149	118	672
150	119	672
151	120	671
152	121	670
153	121	669
154	122	666
155	122	665
156	123	664
157	124	662
158	124	660
159	125	659
160	126	659
161	127	659
162	128	659
163	129	658
164	130	657
165	130	656
166	131	656
167	132	654
168	132	653
169	133	653
170	134	651
171	135	650
172	135	649
173	136	649
174	137	649
175	138	649
176	139	648
177	140	647
178	141	647
179	141	646
180	142	644
181	143	643
182	144	642
183	145	646
184	146	646
185	147	646
186	148	644
187	148	642
188	149	641
189	150	641
190	151	640
191	152	639
192	152	638
193	153	638
194	154	637
195	155	638
196	156	638
197	157	637
198	158	636
199	159	636
200	159	634
201	160	634
202	161	634
203	162	633
204	163	633
205	164	632
206	165	632
207	166	635
208	167	634
209	168	634
210	169	634
211	170	633
212	171	632
213	171	631
214	172	630
215	173	629
216	174	629
217	174	627
218	176	628
219	176	626
220	177	625
221	178	625
222	179	624
223	180	623
224	180	622
225	181	622
226	182	621
227	183	620
228	184	619
229	185	619
230	185	618
231	186	617
232	187	617
233	188	615
234	188	614
235	189	614
236	190	614
237	191	613
238	192	612
239	193	611
240	193	610
241	194	609
242	195	609
243	196	609
244	197	609
245	198	608
246	199	608
247	200	607
248	201	606
249	201	605
250	202	605
251	203	604
252	204	603
253	205	604
254	206	603
255	207	603
256	208	602
257	209	602
258	210	601
259	211	600
260	211	599
261	212	599
262	213	598
263	214	597
264	215	598
265	216	597
266	217	597
267	218	596
268	219	595
269	220	594
270	220	594
271	221	593
272	222	592
273	223	591
274	223	590
275	225	590
276	226	590
